,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
348,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
349,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
350,saldanha,za,24.0,81.0,-33.01,17.94,46.4,46.4,2.24,1533668400
351,nantucket,us,20.0,66.0,41.28,-70.1,84.27,87.8,16.11,1533670500
352,batagay-alyta,ru,0.0,71.0,67.8,130.41,47.44,47.44,2.73,1533671552
353,hami,cn,12.0,39.0,42.84,93.51,72.73,72.73,7.65,1533671553
354,dikson,ru,48.0,79.0,73.51,80.55,49.69,49.69,20.74,1533671553
356,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
357,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
358,vaini,to,75.0,56.0,-21.2,-175.2,69.8,69.8,9.17,1533668400
359,ilhabela,br,32.0,100.0,-23.78,-45.36,65.62,65.62,6.42,1533671554
360,pangnirtung,ca,90.0,100.0,66.15,-65.72,41.0,41.0,9.17,1533668400
361,kavaratti,in,88.0,93.0,10.57,72.64,83.62,83.62,24.09,1533671554
362,kakonko,tz,44.0,68.0,-3.28,30.97,65.8,65.8,3.4,1533671554
363,ahipara,nz,92.0,100.0,-35.17,173.16,53.83,53.83,13.13,1533671555
365,fushun,cn,90.0,94.0,41.89,123.95,73.4,73.4,2.24,1533668400
367,fortuna,us,90.0,77.0,40.6,-124.16,59.2,62.6,4.7,1533670500
368,barrow,us,40.0,83.0,39.51,-90.4,77.0,77.0,6.93,1533670500
369,pokaran,in,8.0,62.0,26.93,71.92,83.8,83.8,5.97,1533671556
370,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
371,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
372,kigali,rw,40.0,72.0,-1.95,30.06,64.4,64.4,5.82,1533670200
374,chabahar,ir,0.0,95.0,25.29,60.65,88.21,88.21,10.89,1533671557
376,carnarvon,au,0.0,100.0,-24.87,113.63,59.41,59.41,10.78,1533671546
377,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
378,yellowknife,ca,75.0,67.0,62.45,-114.38,60.8,60.8,12.75,1533668400
379,tuktoyaktuk,ca,75.0,76.0,69.44,-133.03,50.0,50.0,16.11,1533668400
381,cabo san lucas,mx,90.0,88.0,22.89,-109.91,77.45,78.8,10.29,1533670500
382,grindavik,is,75.0,71.0,63.84,-22.43,50.0,50.0,27.51,1533668400
383,saint-philippe,re,90.0,56.0,-21.36,55.77,67.86,69.8,4.7,1533668400
385,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
387,beringovskiy,ru,44.0,97.0,63.05,179.32,54.46,54.46,6.2,1533671559
388,te anau,nz,20.0,84.0,-45.41,167.72,32.05,32.05,2.39,1533671559
389,georgetown,sh,56.0,100.0,-7.93,-14.42,76.51,76.51,19.28,1533671547
390,palmer,us,90.0,93.0,61.6,-149.11,55.42,57.2,2.73,1533670440
391,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
392,esperance,au,0.0,91.0,-33.86,121.89,44.56,44.56,9.33,1533671515
393,port elizabeth,za,0.0,71.0,-33.92,25.57,50.0,50.0,17.22,1533668400
394,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
395,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
396,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
397,yeppoon,au,0.0,93.0,-23.13,150.74,41.0,41.0,8.21,1533670200
398,mount gambier,au,92.0,96.0,-37.83,140.78,49.87,49.87,8.32,1533671517
399,chokurdakh,ru,0.0,89.0,70.62,147.9,36.19,36.19,8.43,1533671561
400,upernavik,gl,92.0,86.0,72.79,-56.15,42.31,42.31,6.08,1533671498
401,cape town,za,40.0,93.0,-33.93,18.42,42.8,42.8,2.24,1533668400
402,margate,za,0.0,65.0,-30.86,30.37,62.47,62.47,27.11,1533671562
404,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
405,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
406,lagoa,pt,0.0,29.0,37.14,-8.45,89.6,89.6,16.11,1533670200
407,saint simons,us,75.0,55.0,31.14,-81.39,90.84,93.2,8.05,1533670740
408,oyama,jp,75.0,88.0,36.31,139.8,73.4,73.4,17.22,1533668400
409,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
411,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
413,nantucket,us,20.0,66.0,41.28,-70.1,84.27,87.8,16.11,1533670500
414,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
415,la ronge,ca,75.0,57.0,55.1,-105.3,77.0,77.0,16.11,1533668400
416,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
417,clovis,us,1.0,31.0,36.83,-119.7,88.93,89.6,7.2,1533670500
418,yerbogachen,ru,20.0,84.0,61.28,108.01,48.16,48.16,2.51,1533671565
419,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
422,ferme-neuve,ca,44.0,79.0,46.7,-75.45,72.91,72.91,3.74,1533671565
423,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
424,sitka,us,0.0,83.0,37.17,-99.65,83.26,83.26,4.07,1533671566
426,nikolskoye,ru,20.0,77.0,59.7,30.79,60.8,60.8,8.95,1533668400
427,lavrentiya,ru,76.0,96.0,65.58,-170.99,46.63,46.63,6.76,1533671566
428,okhotsk,ru,12.0,100.0,59.36,143.24,52.84,52.84,4.63,1533671567
429,oistins,bb,20.0,62.0,13.07,-59.53,87.8,87.8,20.8,1533668400
430,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
431,mezen,ru,68.0,76.0,65.85,44.24,51.13,51.13,5.97,1533671567
432,dikson,ru,48.0,79.0,73.51,80.55,49.69,49.69,20.74,1533671553
433,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
434,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
435,murgab,tm,0.0,37.0,37.5,61.97,82.4,82.4,4.7,1533668400
436,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
437,port elizabeth,za,0.0,71.0,-33.92,25.57,50.0,50.0,17.22,1533668400
438,bull savanna,jm,44.0,66.0,17.89,-77.59,84.7,84.7,10.22,1533671569
439,imeni poliny osipenko,ru,76.0,75.0,52.42,136.49,62.56,62.56,4.85,1533671569
442,vaini,to,75.0,56.0,-21.2,-175.2,69.8,69.8,9.17,1533668400
444,barrow,us,40.0,83.0,39.51,-90.4,77.0,77.0,6.93,1533670500
445,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
446,tasiilaq,gl,75.0,80.0,65.61,-37.64,41.0,41.0,11.41,1533667800
447,rio gallegos,ar,0.0,100.0,-51.62,-69.22,41.0,41.0,2.24,1533668400
448,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
449,katsuura,jp,0.0,93.0,33.93,134.5,73.09,73.09,5.19,1533671522
450,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
451,flinders,au,0.0,40.0,-34.58,150.85,53.6,53.6,9.17,1533668400
452,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
453,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
454,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
455,vaini,to,75.0,56.0,-21.2,-175.2,69.8,69.8,9.17,1533668400
456,thompson,ca,90.0,100.0,55.74,-97.86,62.6,62.6,4.7,1533668400
457,merauke,id,76.0,99.0,-8.49,140.4,74.08,74.08,10.56,1533671572
458,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
459,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
460,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
461,novoseleznevo,ru,0.0,89.0,55.68,69.21,61.39,61.39,5.75,1533671573
463,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
464,severo-kurilsk,ru,44.0,100.0,50.68,156.12,51.67,51.67,3.85,1533671506
465,bredasdorp,za,80.0,87.0,-34.53,20.04,48.2,48.2,6.93,1533668400
466,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
467,aswan,eg,0.0,30.0,24.09,32.9,88.66,88.66,11.79,1533671418
469,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
470,manado,id,20.0,78.0,1.49,124.85,77.0,77.0,8.05,1533670200
471,caboolture,au,0.0,75.0,-27.08,152.95,37.02,42.8,5.82,1533670200
472,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
473,shenjiamen,cn,32.0,96.0,29.96,122.3,81.19,81.19,3.06,1533671575
474,bethel,us,90.0,93.0,60.79,-161.76,51.8,51.8,6.93,1533668460
475,cape town,za,40.0,93.0,-33.93,18.42,42.8,42.8,2.24,1533668400
476,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
477,castro,cl,56.0,93.0,-42.48,-73.76,46.72,46.72,4.07,1533671512
478,torbay,ca,75.0,73.0,47.66,-52.73,75.2,75.2,11.41,1533668400
479,moranbah,au,0.0,62.0,-22.0,148.04,38.71,38.71,4.97,1533671576
480,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
481,cherskiy,ru,0.0,76.0,68.75,161.3,40.78,40.78,4.18,1533671545
482,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
483,tuktoyaktuk,ca,75.0,76.0,69.44,-133.03,50.0,50.0,16.11,1533668400
484,saint-philippe,re,90.0,56.0,-21.36,55.77,67.86,69.8,4.7,1533668400
485,torbay,ca,75.0,73.0,47.66,-52.73,75.2,75.2,11.41,1533668400
486,lompoc,us,1.0,18.0,34.64,-120.46,75.43,93.2,5.82,1533670500
487,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
488,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
490,chokurdakh,ru,0.0,89.0,70.62,147.9,36.19,36.19,8.43,1533671561
491,abu dhabi,ae,0.0,75.0,24.47,54.37,93.2,93.2,4.7,1533668400
492,visby,se,36.0,72.0,57.64,18.3,68.0,68.0,5.82,1533669600
494,dunedin,nz,36.0,86.0,-45.87,170.5,36.37,36.37,2.84,1533671468
496,sao filipe,cv,0.0,100.0,14.9,-24.5,75.97,75.97,8.55,1533671488
497,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
498,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
499,torbay,ca,75.0,73.0,47.66,-52.73,75.2,75.2,11.41,1533668400
500,ponta do sol,cv,88.0,100.0,17.2,-25.09,74.98,74.98,10.67,1533671579
501,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
502,manzanillo,mx,75.0,70.0,19.05,-104.32,87.8,87.8,9.17,1533667260
503,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
504,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
505,ribeira grande,pt,75.0,69.0,38.52,-28.7,75.2,75.2,9.17,1533670200
506,miles city,us,1.0,27.0,46.41,-105.84,87.8,87.8,6.93,1533667980
509,kaitangata,nz,64.0,82.0,-46.28,169.85,41.05,41.05,2.95,1533671542
510,aswan,eg,0.0,30.0,24.09,32.9,88.66,88.66,11.79,1533671418
511,poum,nc,0.0,100.0,-20.23,164.02,71.92,71.92,4.97,1533671581
512,qaanaaq,gl,64.0,87.0,77.48,-69.36,39.25,39.25,2.95,1533671468
513,nome,us,1.0,74.0,30.04,-94.42,84.27,91.4,4.7,1533669600
514,tuktoyaktuk,ca,75.0,76.0,69.44,-133.03,50.0,50.0,16.11,1533668400
515,porto santo,pt,75.0,73.0,33.07,-16.34,72.61,73.4,12.75,1533670200
516,saskylakh,ru,0.0,81.0,71.97,114.09,54.19,54.19,2.73,1533671540
517,cape town,za,40.0,93.0,-33.93,18.42,42.8,42.8,2.24,1533668400
518,atuona,pf,100.0,100.0,-9.8,-139.03,75.16,75.16,14.25,1533671518
519,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
520,nemuro,jp,92.0,97.0,43.32,145.57,61.66,61.66,15.14,1533671583
521,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
522,tautira,pf,20.0,54.0,-17.73,-149.15,82.4,82.4,17.22,1533670200
523,viedma,ar,92.0,93.0,-40.81,-62.99,47.98,47.98,23.31,1533671583
524,paso de carrasco,uy,0.0,43.0,-34.86,-56.05,68.86,69.8,9.17,1533668400
525,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
527,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
528,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
529,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
530,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
531,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
532,faanui,pf,8.0,97.0,-16.48,-151.75,80.92,80.92,21.63,1533671486
533,nikolskoye,ru,20.0,77.0,59.7,30.79,60.8,60.8,8.95,1533668400
534,port alfred,za,8.0,90.0,-33.59,26.89,56.71,56.71,22.41,1533671483
535,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
536,caravelas,br,100.0,100.0,-17.73,-39.27,73.54,73.54,17.94,1533671586
537,port alfred,za,8.0,90.0,-33.59,26.89,56.71,56.71,22.41,1533671483
538,estelle,us,40.0,39.0,32.87,-97.01,96.21,96.8,11.41,1533669300
540,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
541,panzhihua,cn,64.0,100.0,26.59,101.72,60.58,60.58,2.39,1533671587
543,port elizabeth,za,0.0,71.0,-33.92,25.57,50.0,50.0,17.22,1533668400
544,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
545,maldonado,uy,0.0,52.0,-34.91,-54.96,68.0,68.0,5.82,1533668400
546,rawson,ar,36.0,59.0,-43.3,-65.11,49.33,49.33,13.58,1533671588
548,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
549,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
550,severo-kurilsk,ru,44.0,100.0,50.68,156.12,51.67,51.67,3.85,1533671506
551,beberibe,br,75.0,69.0,-4.18,-38.13,82.4,82.4,12.75,1533668400
553,namtsy,ru,0.0,85.0,62.72,129.66,54.82,54.82,2.39,1533671589
554,port hardy,ca,40.0,87.0,50.7,-127.42,55.4,55.4,4.7,1533668400
555,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
557,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
558,tevaitoa,pf,20.0,95.0,-16.78,-151.5,80.56,80.56,23.2,1533671476
559,port moresby,pg,0.0,98.0,-9.47,147.16,76.96,76.96,17.05,1533671590
561,mount isa,au,0.0,44.0,-20.73,139.49,41.0,41.0,6.93,1533670200
562,vardo,no,75.0,71.0,70.37,31.11,49.37,50.0,16.11,1533667800
563,guadalupe y calvo,mx,92.0,36.0,26.09,-106.96,74.08,74.08,2.17,1533671591
564,norman wells,ca,90.0,87.0,65.28,-126.83,57.2,57.2,3.36,1533669900
565,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
566,nikolskoye,ru,20.0,77.0,59.7,30.79,60.8,60.8,8.95,1533668400
567,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
568,komsomolskiy,ru,48.0,91.0,67.55,63.78,49.96,49.96,3.29,1533671592
569,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
570,cabo san lucas,mx,90.0,88.0,22.89,-109.91,77.45,78.8,10.29,1533670500
571,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
572,nisia floresta,br,40.0,61.0,-6.09,-35.21,82.4,82.4,20.8,1533668400
573,noumea,nc,0.0,87.0,-22.28,166.46,59.0,59.0,1.12,1533670200
574,qaanaaq,gl,64.0,87.0,77.48,-69.36,39.25,39.25,2.95,1533671468
576,jiwani,pk,12.0,94.0,25.05,61.74,82.99,82.99,9.22,1533671593
578,mangrol,in,92.0,95.0,25.33,76.51,74.62,74.62,5.19,1533671594
579,cape town,za,40.0,93.0,-33.93,18.42,42.8,42.8,2.24,1533668400
580,nibbar,tn,20.0,69.0,36.29,8.77,78.8,78.8,2.73,1533668400
581,barrow,us,40.0,83.0,39.51,-90.4,77.0,77.0,6.93,1533670500
582,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
583,kamina,cd,0.0,69.0,-8.74,25.0,63.19,63.19,2.06,1533671595
584,mossendjo,cg,8.0,86.0,-2.95,12.72,69.76,69.76,3.18,1533671595
586,luangwa,zm,0.0,35.0,-12.88,28.25,64.54,64.54,10.67,1533671595
587,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
588,erdenet,mn,44.0,100.0,49.03,104.04,52.57,52.57,2.73,1533671596
589,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
590,liverpool,ca,0.0,79.0,44.04,-64.71,70.03,70.03,12.91,1533671596
591,hithadhoo,mv,92.0,100.0,-0.6,73.08,81.73,81.73,5.53,1533671497
592,bambous virieux,mu,75.0,64.0,-20.34,57.76,71.6,71.6,9.17,1533668400
593,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
594,vao,nc,0.0,100.0,-22.67,167.48,69.31,69.31,4.85,1533671597
595,havelock,us,20.0,100.0,34.88,-76.9,82.38,91.4,18.34,1533669720
596,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
597,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
598,mkushi,zm,0.0,69.0,-13.61,29.4,55.99,55.99,3.74,1533671598
599,qaanaaq,gl,64.0,87.0,77.48,-69.36,39.25,39.25,2.95,1533671468
600,katsuura,jp,0.0,93.0,33.93,134.5,73.09,73.09,5.19,1533671522
601,deputatskiy,ru,0.0,73.0,69.3,139.9,45.64,45.64,4.18,1533671598
602,aden,ye,32.0,83.0,12.79,45.03,85.51,85.51,10.22,1533671599
603,goldsboro,us,1.0,55.0,35.38,-77.99,91.4,91.4,4.7,1533670500
604,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
607,arraial do cabo,br,75.0,88.0,-22.97,-42.02,68.0,68.0,4.7,1533668400
608,san patricio,mx,75.0,70.0,19.22,-104.7,87.8,87.8,9.17,1533667260
609,vaini,to,75.0,56.0,-21.2,-175.2,69.8,69.8,9.17,1533668400
610,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
611,bathsheba,bb,20.0,62.0,13.22,-59.52,87.8,87.8,20.8,1533668400
612,valladolid,es,0.0,33.0,41.65,-4.73,75.2,75.2,9.17,1533670200
613,springbok,za,0.0,73.0,-29.67,17.88,33.67,33.67,8.77,1533671483
614,east london,za,0.0,100.0,-33.02,27.91,60.31,60.31,31.14,1533671601
615,dongsheng,cn,32.0,86.0,29.72,112.52,78.94,78.94,3.18,1533671601
616,newport,us,1.0,74.0,41.49,-71.31,86.0,91.4,11.41,1533669300
617,nedjo,et,80.0,99.0,9.5,35.5,62.11,62.11,2.39,1533671602
618,chokurdakh,ru,0.0,89.0,70.62,147.9,36.19,36.19,8.43,1533671561
619,torbay,ca,75.0,73.0,47.66,-52.73,75.2,75.2,11.41,1533668400
620,dawlatabad,af,0.0,48.0,36.41,64.91,72.28,72.28,6.76,1533671602
621,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
622,upernavik,gl,92.0,86.0,72.79,-56.15,42.31,42.31,6.08,1533671498
625,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
626,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
629,kamalpur,in,75.0,94.0,28.15,76.61,80.6,80.6,3.36,1533668400
631,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
632,ilulissat,gl,75.0,54.0,69.22,-51.1,59.0,59.0,14.99,1533667800
635,fortuna,us,90.0,77.0,40.6,-124.16,59.2,62.6,4.7,1533670500
636,inhambane,mz,0.0,84.0,-23.87,35.38,75.97,75.97,14.7,1533671605
637,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
638,bethel,us,90.0,93.0,60.79,-161.76,51.8,51.8,6.93,1533668460
639,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
641,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
642,thompson,ca,90.0,100.0,55.74,-97.86,62.6,62.6,4.7,1533668400
644,kendari,id,12.0,93.0,-3.99,122.52,69.49,69.49,0.94,1533671606
645,tiksi,ru,0.0,82.0,71.64,128.87,49.24,49.24,7.99,1533671513
647,kaeo,nz,92.0,87.0,-35.1,173.78,53.92,53.92,8.55,1533671572
648,atuona,pf,100.0,100.0,-9.8,-139.03,75.16,75.16,14.25,1533671518
649,carutapera,br,76.0,76.0,-1.2,-46.02,81.19,81.19,12.12,1533671607
650,sistranda,no,20.0,63.0,63.73,8.83,66.2,66.2,1.12,1533669600
651,tura,ru,92.0,80.0,64.27,100.22,47.44,47.44,3.62,1533671608
652,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
653,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
654,rocha,uy,0.0,64.0,-34.48,-54.34,61.12,61.12,10.89,1533671608
655,key west,us,1.0,48.0,47.93,-96.78,83.12,84.2,10.29,1533669300
656,isangel,vu,0.0,100.0,-19.55,169.27,72.19,72.19,10.22,1533671609
657,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
658,camopi,gf,48.0,67.0,3.17,-52.33,82.81,82.81,4.41,1533671609
659,den helder,nl,90.0,48.0,52.96,4.76,80.55,82.4,12.75,1533669900
660,cidreira,br,0.0,76.0,-30.17,-50.22,59.95,59.95,13.13,1533671526
662,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
663,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
665,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
666,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
667,petatlan,mx,40.0,63.0,17.52,-101.27,91.4,91.4,11.41,1533667560
668,lebu,cl,64.0,100.0,-37.62,-73.65,51.76,51.76,3.62,1533671540
669,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
671,ugoofaaru,mv,48.0,100.0,5.67,73.0,82.09,82.09,19.62,1533671486
672,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
673,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
674,kingaroy,au,0.0,82.0,-26.54,151.84,35.74,35.74,6.42,1533671612
675,atuona,pf,100.0,100.0,-9.8,-139.03,75.16,75.16,14.25,1533671518
676,leningradskiy,ru,92.0,100.0,69.38,178.42,35.11,35.11,22.97,1533671497
677,mogadishu,so,68.0,100.0,2.04,45.34,75.88,75.88,24.32,1533671514
678,sioux lookout,ca,75.0,54.0,50.1,-91.92,78.8,78.8,9.17,1533668400
682,bulaevo,kz,8.0,95.0,54.91,70.44,60.94,60.94,3.85,1533671613
683,victoria,sc,40.0,83.0,-4.62,55.45,78.8,78.8,13.87,1533668400
684,aleksandrov gay,ru,68.0,53.0,50.14,48.57,73.36,73.36,4.52,1533671614
685,pacific grove,us,1.0,34.0,36.62,-121.92,64.72,80.6,4.7,1533670500
686,neustadt,de,0.0,61.0,47.92,8.21,80.02,80.6,1.12,1533670200
687,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
688,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
689,saint-augustin,ca,75.0,74.0,45.63,-73.98,81.23,82.4,8.05,1533668400
691,butaritari,ki,20.0,100.0,3.07,172.79,82.18,82.18,7.87,1533671489
692,lebu,cl,64.0,100.0,-37.62,-73.65,51.76,51.76,3.62,1533671540
694,narsaq,gl,20.0,39.0,60.91,-46.05,62.6,62.6,5.82,1533667800
696,mecca,sa,0.0,74.0,21.43,39.83,77.23,77.23,2.62,1533671431
697,san patricio,mx,75.0,70.0,19.22,-104.7,87.8,87.8,9.17,1533667260
699,lebu,cl,64.0,100.0,-37.62,-73.65,51.76,51.76,3.62,1533671540
700,sambava,mg,0.0,100.0,-14.27,50.17,73.18,73.18,13.24,1533671484
701,san miguel,bo,0.0,55.0,-10.85,-65.44,87.8,87.8,3.36,1533668400
702,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
703,mattru,sl,100.0,100.0,7.62,-11.83,73.18,73.18,4.18,1533671618
704,ilhabela,br,32.0,100.0,-23.78,-45.36,65.62,65.62,6.42,1533671554
707,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
708,port alfred,za,8.0,90.0,-33.59,26.89,56.71,56.71,22.41,1533671483
709,georgetown,sh,56.0,100.0,-7.93,-14.42,76.51,76.51,19.28,1533671547
710,mahebourg,mu,75.0,64.0,-20.41,57.7,71.6,71.6,9.17,1533668400
711,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
712,yellowknife,ca,75.0,67.0,62.45,-114.38,60.8,60.8,12.75,1533668400
713,thompson,ca,90.0,100.0,55.74,-97.86,62.6,62.6,4.7,1533668400
714,bredasdorp,za,80.0,87.0,-34.53,20.04,48.2,48.2,6.93,1533668400
715,puri,in,92.0,100.0,19.8,85.85,79.12,79.12,10.22,1533671620
717,khatanga,ru,0.0,87.0,71.98,102.47,44.83,44.83,2.84,1533671514
719,cape town,za,40.0,93.0,-33.93,18.42,42.8,42.8,2.24,1533668400
720,cape town,za,40.0,93.0,-33.93,18.42,42.8,42.8,2.24,1533668400
721,esperance,au,0.0,91.0,-33.86,121.89,44.56,44.56,9.33,1533671515
722,bagdarin,ru,92.0,95.0,54.44,113.59,51.22,51.22,2.39,1533671621
723,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
724,archidona,ec,92.0,100.0,-0.91,-77.81,60.31,60.31,3.4,1533671621
725,nizwa,om,48.0,22.0,22.93,57.53,83.98,83.98,3.74,1533671622
