,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
81,general bravo,mx,24.0,43.0,25.79,-99.18,96.31,96.31,15.59,1533671495
82,geraldton,au,90.0,87.0,-28.77,114.6,50.0,50.0,9.17,1533670200
83,kailua,us,75.0,58.0,21.39,-157.74,82.99,84.2,11.41,1533668220
84,diego de almagro,cl,0.0,71.0,-26.39,-70.05,66.88,66.88,2.73,1533671496
85,tairua,nz,100.0,91.0,-37.02,175.85,55.09,55.09,5.86,1533671496
86,leningradskiy,ru,92.0,100.0,69.38,178.42,35.11,35.11,22.97,1533671497
87,taltal,cl,0.0,72.0,-25.41,-70.49,64.99,64.99,1.61,1533671497
88,hithadhoo,mv,92.0,100.0,-0.6,73.08,81.73,81.73,5.53,1533671497
89,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
90,beauceville,ca,92.0,100.0,46.21,-70.77,67.24,67.24,3.62,1533671498
91,ugoofaaru,mv,48.0,100.0,5.67,73.0,82.09,82.09,19.62,1533671486
92,upernavik,gl,92.0,86.0,72.79,-56.15,42.31,42.31,6.08,1533671498
93,loreto,mx,68.0,56.0,22.27,-101.99,72.73,72.73,6.64,1533671498
94,vaini,to,75.0,56.0,-21.2,-175.2,69.8,69.8,9.17,1533668400
95,port alfred,za,8.0,90.0,-33.59,26.89,56.71,56.71,22.41,1533671483
96,husavik,is,90.0,93.0,66.04,-17.34,46.4,46.4,14.99,1533668400
97,nuuk,gl,75.0,42.0,64.17,-51.74,64.4,64.4,18.34,1533667800
98,palmer,us,90.0,93.0,61.6,-149.11,55.42,57.2,2.73,1533670440
99,north bend,us,1.0,77.0,43.41,-124.22,62.44,64.4,4.7,1533669300
100,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
103,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
104,rundu,na,0.0,26.0,-17.91,19.77,68.32,68.32,8.99,1533671501
105,port alfred,za,8.0,90.0,-33.59,26.89,56.71,56.71,22.41,1533671483
106,tuktoyaktuk,ca,75.0,76.0,69.44,-133.03,50.0,50.0,16.11,1533668400
107,vaini,to,75.0,56.0,-21.2,-175.2,69.8,69.8,9.17,1533668400
108,port alfred,za,8.0,90.0,-33.59,26.89,56.71,56.71,22.41,1533671483
109,tuktoyaktuk,ca,75.0,76.0,69.44,-133.03,50.0,50.0,16.11,1533668400
110,ancud,cl,20.0,89.0,-41.87,-73.83,48.16,48.16,3.51,1533671502
111,abramovka,ru,8.0,74.0,51.19,41.01,64.36,64.36,7.76,1533671502
112,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
113,mar del plata,ar,0.0,58.0,-46.43,-67.52,46.18,46.18,4.97,1533671502
115,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
116,yellowknife,ca,75.0,67.0,62.45,-114.38,60.8,60.8,12.75,1533668400
117,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
119,qaanaaq,gl,64.0,87.0,77.48,-69.36,39.25,39.25,2.95,1533671468
120,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
121,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
122,port hardy,ca,40.0,87.0,50.7,-127.42,55.4,55.4,4.7,1533668400
124,saint-philippe,re,90.0,56.0,-21.36,55.77,67.86,69.8,4.7,1533668400
125,ginir,et,0.0,56.0,7.14,40.71,63.82,63.82,9.44,1533671504
126,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
127,mabaruma,gy,36.0,80.0,8.2,-59.78,83.62,83.62,7.65,1533671505
129,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
130,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
131,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
132,severo-kurilsk,ru,44.0,100.0,50.68,156.12,51.67,51.67,3.85,1533671506
133,ambovombe,mg,0.0,96.0,-25.18,46.09,64.9,64.9,3.29,1533671506
135,longyearbyen,sj,75.0,81.0,78.22,15.64,46.4,46.4,9.17,1533667800
136,mayumba,ga,0.0,98.0,-3.44,10.65,67.24,67.24,3.29,1533671507
137,geraldton,au,90.0,87.0,-28.77,114.6,50.0,50.0,9.17,1533670200
138,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
139,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
141,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
142,kodiak,us,75.0,74.0,39.95,-94.76,80.6,80.6,5.82,1533667980
144,bahia blanca,ar,92.0,94.0,-38.72,-62.27,52.03,52.03,14.7,1533671508
145,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
146,puerto baquerizo moreno,ec,8.0,100.0,-0.9,-89.6,70.93,70.93,14.58,1533671508
147,ostrovnoy,ru,8.0,78.0,68.05,39.51,47.08,47.08,7.31,1533671509
148,brae,gb,0.0,71.0,60.4,-1.35,56.43,57.2,6.93,1533669600
149,peniche,pt,20.0,72.0,39.36,-9.38,68.0,68.0,16.11,1533670200
150,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
151,santa maria,cv,75.0,69.0,16.6,-22.9,79.59,80.6,11.41,1533668400
152,andros town,bs,75.0,58.0,24.73,-77.79,87.8,87.8,11.41,1533668400
153,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
154,resistencia,ar,0.0,47.0,-27.45,-58.99,79.66,80.6,17.22,1533668400
155,opelousas,us,1.0,79.0,30.53,-92.08,86.47,89.6,4.52,1533669300
156,inuvik,ca,90.0,87.0,68.36,-133.71,51.8,51.8,8.05,1533670560
157,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
158,qaanaaq,gl,64.0,87.0,77.48,-69.36,39.25,39.25,2.95,1533671468
160,elizabeth city,us,40.0,62.0,36.3,-76.22,91.4,93.2,5.41,1533669960
161,thompson,ca,90.0,100.0,55.74,-97.86,62.6,62.6,4.7,1533668400
162,haines junction,ca,92.0,54.0,60.75,-137.51,60.22,60.22,7.43,1533671512
163,castro,cl,56.0,93.0,-42.48,-73.76,46.72,46.72,4.07,1533671512
164,nicoya,cr,0.0,58.0,10.15,-85.45,86.0,86.0,13.87,1533668400
165,butaritari,ki,20.0,100.0,3.07,172.79,82.18,82.18,7.87,1533671489
166,arraial do cabo,br,75.0,88.0,-22.97,-42.02,68.0,68.0,4.7,1533668400
168,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
169,victoria,sc,40.0,83.0,-4.62,55.45,78.8,78.8,13.87,1533668400
170,tiksi,ru,0.0,82.0,71.64,128.87,49.24,49.24,7.99,1533671513
171,myitkyina,mm,44.0,96.0,25.38,97.4,76.15,76.15,1.72,1533671261
172,khatanga,ru,0.0,87.0,71.98,102.47,44.83,44.83,2.84,1533671514
173,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
174,mogadishu,so,68.0,100.0,2.04,45.34,75.88,75.88,24.32,1533671514
175,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
176,qaanaaq,gl,64.0,87.0,77.48,-69.36,39.25,39.25,2.95,1533671468
178,esperance,au,0.0,91.0,-33.86,121.89,44.56,44.56,9.33,1533671515
179,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
